City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
521,Hirado,JP,79.95,light rain,33.3597,129.5531,Samson Hotel
526,Portobelo,PA,79.86,overcast clouds,9.55,-79.65,Scuba Portobelo
530,Mitsamiouli,KM,78.44,clear sky,-11.3847,43.2844,Foyer ADM
531,Chambersburg,US,76.5,overcast clouds,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
535,Alihe,CN,82.15,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
537,Myitkyina,MM,82.63,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
538,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
539,Slavutych,UA,80.2,clear sky,51.5196,30.7343,Славутич отель
541,Nuevo Progreso,MX,80.6,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
547,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
548,Hailar,CN,79.23,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
551,Cap Malheureux,MU,75.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
553,Nenjiang,CN,83.34,overcast clouds,49.1833,125.2167,Nenjiang Apartment
558,Gorontalo,ID,77.25,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
559,Ayagoz,KZ,79.74,scattered clouds,47.9714,80.4392,Gostinitsa Nur
565,Sola,VU,80.6,few clouds,-13.8833,167.55,Leumerus Bungalows
569,Berezovyy,RU,85.53,broken clouds,51.6667,135.7,"Hotel ""Phoenix"""
572,Chaohu,CN,78.91,moderate rain,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
574,Amursk,RU,89.58,broken clouds,50.2261,136.8994,Gostinitsa Tsentral'naya
575,Shangrao,CN,89.83,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
588,Bani,DO,78.85,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
593,Dongsheng,CN,86.04,scattered clouds,39.8161,109.9776,Crowne Plaza Ordos
600,Dali,CN,77.79,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
601,Qui Nhon,VN,88.36,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
606,Marawi,PH,78.51,overcast clouds,7.9986,124.2928,Derogongan Residence
616,Fairbanks,US,78.8,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
623,Smolenka,RU,82.47,few clouds,52.1352,113.4974,Russkaya Usadba v Zarechye
627,Papara,BR,77.68,clear sky,-3.9839,-38.7273,Romin
631,Ardakan,IR,88.18,scattered clouds,32.31,54.0175,Ardakan Hotel
632,Pinar Del Rio,CU,75.87,overcast clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
637,Ewo,CG,75.45,scattered clouds,-0.8725,14.8206,Residence Elonda Ewo
638,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
643,Big Spring,US,83.68,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
653,Ambon,ID,75.34,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
663,Buchanan,LR,75.16,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
665,Pangkalanbuun,ID,82.92,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
668,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Ikathouse
670,Kazanka,UA,79.11,scattered clouds,47.8462,32.8218,Готель
671,Vung Tau,VN,87.12,scattered clouds,10.346,107.0843,Green hotel
672,Gizo,SB,84.99,light rain,-8.103,156.8419,Imagination Island
674,Sohag,EG,86.29,scattered clouds,26.557,31.6948,Civil Registry - Sohag 1
677,Ivnya,RU,76.91,clear sky,51.0629,36.1343,Gostinitsa Lev
690,Sakata,JP,84.38,few clouds,38.9167,139.855,Hotel Rich & Garden Sakata
691,Sao Joao De Pirabas,BR,77.68,broken clouds,-0.7747,-47.1772,POUSADA SOL E MAR
692,Panlaitan,PH,79.95,light rain,12.1191,119.8486,Panlaitan Cetro Beach
696,Olga,RU,85.6,few clouds,43.7444,135.2892,Gostinitsa Rosmorport.
697,Yatou,CN,81.86,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
699,Caldwell,US,79.92,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
700,Quatre Cocos,MU,75.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
703,Mandera,KE,80.82,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
